Wavelength_nm,SculpinRh1-S3,CiscoRh1-C1,SculpinRh1-S1,CiscoRh1-C3,CiscoRh1-C2
300,0.89004201,1.98200744,9.66631276,5.02701279,2.86719824
299,0.98671768,2.30246012,11.6107724,6.18905721,3.45247495
298,1.13752604,2.69202002,13.862907,7.44427685,4.10490325
297,1.33292105,3.20499565,16.6155475,9.07516458,4.89692488
296,1.50983167,3.71094207,19.7692416,10.916596,5.80721806
295,1.76905085,4.42871368,23.4219617,13.0232751,6.87015995
294,2.04476669,5.15517513,27.6703396,15.5016323,8.1097492
293,2.37904425,6.01530471,32.3794255,18.2907688,9.53794601
292,2.70973351,6.92856224,37.5219599,21.3311142,11.008764
291,3.03190566,7.84465358,42.6755641,24.3482615,12.494589
290,3.26458896,8.55635785,47.7748186,27.3521014,13.9651339
289,3.53109862,9.37053807,52.7445091,30.1074459,15.3031599
288,3.79641595,10.1176137,57.7392012,32.8713927,16.7158915
287,4.08968199,10.9798552,63.0002022,35.9062513,18.2519308
286,4.43517731,11.8981901,68.8060149,39.2438768,19.8695375
285,4.74364793,12.8262998,74.7356434,42.5672673,21.57597
284,5.00174528,13.6782685,80.7705421,45.9995256,23.2392368
283,5.20365596,14.4083973,86.5502137,49.1805417,24.7575428
282,5.37687739,15.0650539,92.287221,52.2294785,26.264553
281,5.51922014,15.6796996,97.8342333,55.1712561,27.73308
280,5.67634315,16.2983659,103.323665,58.1509732,29.2304975
279,5.80089381,16.8364113,109.168775,61.1138205,30.6975769
278,5.92543246,17.4298916,114.816994,64.111173,32.1502284
277,5.98368379,17.8945412,120.576553,67.1563965,33.6135854
276,6.04907931,18.3926528,126.012695,70.0988758,35.0708598
275,6.14109379,18.8660407,131.862671,72.9697203,36.4479021
274,6.16391768,19.2590776,137.475621,75.7568462,37.8561543
273,6.21444842,19.6757742,142.575042,78.6119306,39.2190975
272,6.2206526,19.972505,147.932804,81.1754332,40.5112055
271,6.2385814,20.3130735,153.343752,83.7482658,41.7737848
270,6.25665195,20.6231928,160.179816,86.2350748,42.9910681
269,6.27082542,20.9464918,166.337622,88.6099238,44.1084861
268,6.26699994,21.1923327,171.186268,90.7805772,45.2013214
267,6.21631299,21.3575261,177.6706,92.9194164,46.211259
266,6.21476276,21.5683605,205.100825,94.9216891,47.2170761
265,6.22528489,21.7946243,0.90960916,96.8002604,48.1754093
264,6.19365561,21.9429643,0.89714335,98.6180218,49.0083775
263,6.1405661,22.0320286,0.88458273,100.039768,49.6807517
262,6.08701727,22.0871525,0.87192624,101.302512,50.3436222
261,6.04829631,22.1499173,0.85917276,102.374171,50.7817024
260,5.98596214,22.129495,0.84632118,102.981324,51.1497379
259,5.95132074,22.0684215,0.83337035,103.257529,51.3251871
258,5.88650215,21.9206332,0.82031914,103.124226,51.2296895
257,5.78657589,21.7320737,0.80716635,102.531139,50.967452
256,5.66166657,21.4085123,0.79391081,101.641829,50.5602207
255,5.58812857,21.1642141,0.78055131,100.623996,50.0644339
254,5.51016101,20.8937452,0.76708661,99.4180617,49.4711559
253,5.47310555,20.6395931,0.75351547,97.9757512,48.8123313
252,5.41132563,20.3256186,0.73983663,96.3167497,47.9798374
251,5.35288649,20.0038696,0.72604879,94.3530638,47.0565747
250,5.31730563,19.6769892,0.71215065,92.2192729,46.0117059
